Organization ID,Organization Name,Organization Acronym,Number of Employees
662,Sed Id PC,dolor.,30473
663,Ac Turpis Egestas Institute,fringilla,13833
664,Nibh Industries,libero.,38413
665,Tincidunt PC,tristique,48367
666,Senectus Foundation,aliquam,30160
667,Lacus Aliquam Rutrum Corporation,dolor.,24893
668,Fringilla Company,erat,41799
669,Erat Vitae Ltd,nibh,11700
670,Accumsan Laoreet Ipsum Corporation,"aliquet,",34217
671,Mollis Duis Ltd,Suspendisse,26020
672,Nulla Facilisis Corporation,imperdiet,48364
673,Phasellus Vitae Mauris LLC,ac,10941
674,Vivamus Sit Amet Industries,non,33864
675,Donec Consectetuer Institute,nibh.,31630
676,Cursus Et Ltd,dictum,781
677,Consectetuer Corporation,ornare,10388
678,Porttitor Eros Nec Associates,sit,40541
679,In Aliquet LLC,et,31306
680,Nibh Phasellus Corporation,hendrerit.,35664
681,A Facilisis Corp.,vitae,37127
682,Mauris Company,"elit,",13248
683,Felis Company,cursus,21858
684,Cursus Et Magna Associates,mattis,14548
685,Diam LLC,sit,5019
686,Blandit At PC,nisi.,41359
687,Sed Incorporated,eget,46473
688,Quis Limited,"magna,",5334
689,In Molestie Tortor Corporation,ut,6417
690,Sodales LLP,imperdiet,35235
691,Aliquam Adipiscing Corporation,"vulputate,",7645
692,Purus Accumsan Interdum Industries,euismod,24191
693,Eu Lacus Ltd,Integer,47450
694,Et Libero Ltd,accumsan,34795
695,Bibendum Ullamcorper Duis PC,neque,27908
696,Donec Fringilla Donec Corp.,purus.,1828
697,Est Tempor Consulting,"id,",47564
698,Vitae Nibh Associates,Duis,29320
699,Aenean Massa Corporation,cursus,36263
700,Turpis Aliquam Adipiscing Ltd,tincidunt.,26579
701,Id Risus Corporation,iaculis,43679
702,Curabitur Consequat Lectus LLP,Fusce,32484
703,Scelerisque Neque Nullam Industries,ornare,31160
704,At Libero Morbi Industries,Proin,9800
705,Integer Vulputate Risus Incorporated,velit.,25626
706,Mi Lorem Vehicula PC,Cum,7147
707,Sed Sem Institute,"mauris,",19416
708,In Industries,egestas,11739
709,Metus Company,"id,",44197
710,Condimentum Donec At Inc.,eleifend.,15950
711,Nunc Laoreet LLP,pharetra.,36386
712,Augue Company,dolor.,22947
713,Aliquet Limited,non,25430
714,Ridiculus Incorporated,mauris,37341
715,Vitae Sodales Ltd,Proin,13338
716,Feugiat Nec PC,"nec,",30727
717,In Scelerisque Scelerisque LLP,Aliquam,34243
718,Nisl Associates,semper,13583
719,Quisque Incorporated,"sapien,",6923
720,Sagittis Duis Gravida LLC,Aliquam,18186
721,Rutrum Non Hendrerit Corp.,vestibulum,5431
722,Ipsum Limited,auctor,44845
723,Turpis Corporation,Curae,5689
724,Ac Sem Ut Limited,tincidunt,49471
725,Lacus Corp.,dapibus,36008
726,Nec Ligula Consectetuer Foundation,purus.,3655
727,Eget LLP,In,16078
728,Non LLC,dolor.,5514
729,Integer Incorporated,volutpat.,8870
730,Enim Limited,nec,21888
731,Nisi Mauris Nulla Associates,"id,",44802
732,Nec Leo Corp.,Vivamus,4717
733,Eget Massa Corporation,tellus.,29696
734,Eros Non Enim PC,aptent,26302
735,Lorem Incorporated,arcu.,12969
736,Justo Sit Amet Industries,libero,22994
737,Odio Corporation,gravida.,46040
738,Nostra Consulting,vitae,20043
739,Mauris Magna Ltd,Phasellus,9500
740,Nullam Lobortis Quam Corporation,pulvinar,48617
741,Sagittis Nullam Vitae Ltd,laoreet,42775
742,In Institute,tristique,35027
743,Dui Nec Corporation,congue,33452
744,Ligula Aenean Euismod Company,massa.,30616
745,Commodo Ipsum Suspendisse Institute,egestas,17599
746,Accumsan Interdum Industries,sagittis,37319
747,Non Vestibulum Nec LLC,quis,40706
748,Est Ltd,egestas,26293
749,Quam Pellentesque Habitant PC,pede,14969
750,Quis Foundation,"vitae,",49378
751,Posuere Corp.,in,813
752,Molestie Pharetra Nibh Ltd,at,13865
753,Vel Faucibus Institute,adipiscing,23743
754,Commodo At Corporation,luctus,40335
755,Lacus Quisque Corporation,dis,8761
756,At Velit Pellentesque Ltd,faucibus,48176
757,Phasellus Fermentum Consulting,Cras,19113
758,Nunc Lectus Associates,gravida,45941
759,Sem Pellentesque Ut Inc.,Pellentesque,31689
760,Aliquam Erat Volutpat Consulting,eleifend.,31432
761,Enim Foundation,Duis,38004
762,Malesuada Vel Convallis Ltd,accumsan,7710
763,Nunc Lectus Pede Company,nisi.,202
764,Integer PC,libero,21259
765,Curabitur Massa Vestibulum Corporation,odio,49633
766,Non Dui Associates,quam.,9242
767,Placerat Company,Curabitur,48733
768,Fusce Industries,semper,4154
769,Tellus Limited,erat,39849
770,Libero At Auctor Foundation,Donec,17835
771,Luctus Aliquet Odio Foundation,ante.,7629
772,Inceptos Hymenaeos Foundation,lacus.,49399
773,Posuere Cubilia Consulting,elit,6036
774,Neque Sed Sem PC,tristique,14299
775,Elit Pellentesque A Inc.,Suspendisse,47140
776,Torquent Per Conubia Company,semper,28934
777,Ipsum Non Arcu Corporation,vitae,3834
778,Mauris Eu Associates,vestibulum,17641
779,Aliquet Limited,"vel,",26102
780,Cursus Et Eros Inc.,ac,6526
781,Metus Institute,Fusce,9824
782,Erat Consulting,enim,29521
783,At Velit Pellentesque Limited,dapibus,42233
784,Interdum Curabitur Foundation,facilisis,42875
785,Adipiscing Elit Inc.,nascetur,42345
786,Montes LLP,dolor.,29349
787,Nisl LLP,arcu.,30376
788,Luctus Curabitur Egestas Foundation,posuere,47761
789,Iaculis Inc.,libero,5784
790,Cras Sed Corp.,ipsum,25790
791,Luctus PC,elementum,19816
792,Posuere Limited,In,25708
793,Donec Industries,Nulla,8858
794,Enim Industries,ipsum,40183
795,Dui Fusce Aliquam Institute,quam.,45298
796,Nibh Vulputate Mauris LLC,urna.,31146
797,Eget Nisi Dictum Incorporated,Cras,6588
798,Dignissim Foundation,sollicitudin,22374
799,Adipiscing Elit Aliquam Associates,In,45294
800,Ipsum Non Institute,"quam,",28074
801,Mauris Ltd,aliquet,23825
802,Ac Company,nunc,4062
803,Purus Limited,natoque,26768
804,Sem Company,"a,",33618
805,Enim Consequat Purus Corp.,"et,",27449
806,Nunc Interdum Feugiat Industries,convallis,38742
807,Interdum Curabitur Industries,porttitor,27985
808,Curabitur LLP,nec,32711
809,Diam Dictum Sapien Ltd,Aliquam,24939
810,Mattis Ornare Company,neque.,33091
811,Tellus Id Nunc Inc.,molestie,41102
812,Libero Consulting,ultrices,17413
813,Eget Tincidunt Dui Ltd,Cras,2812
814,Lacus Vestibulum PC,Sed,36769
815,Enim PC,odio.,6246
816,Turpis Egestas Industries,arcu,43339
817,Cursus Ltd,lacinia,10435
818,Mi LLP,ante,28218
819,At Velit Consulting,sem.,30419
820,Lobortis Augue Scelerisque LLP,neque,33055
821,Donec Nibh Enim Ltd,In,34707
822,Eget Ltd,porttitor,5558
823,Elementum Lorem Ltd,tortor,49881
824,Metus Vitae Velit Limited,Duis,36306
825,Tempor Augue Ac Associates,sit,4948
826,Pellentesque Consulting,egestas,46122
827,Sed Eget Lacus Corp.,urna,33442
828,Cras Vehicula Aliquet Foundation,Proin,35334
829,Pellentesque A Facilisis LLP,nibh.,48561
830,Vulputate Lacus Cras Company,rhoncus,25977
831,Sodales Purus In PC,malesuada,12543
832,Lobortis Ultrices Incorporated,Mauris,24071
833,Quis Accumsan Incorporated,"non,",33096
834,Aliquam Erat Corp.,tellus.,13208
835,Tincidunt Orci Quis LLC,"tortor,",4458
836,Dolor Egestas Rhoncus Corporation,mollis,17798
837,Amet Metus Aliquam Consulting,eu,23100
838,Vulputate LLC,Lorem,19742
839,Eleifend Cras Sed Incorporated,ac,35303
840,Et Ultrices Posuere Institute,vitae,8016
841,Arcu Aliquam Ultrices Foundation,nulla,47289
842,Enim Institute,dui,48511
843,Cras Inc.,rhoncus.,21054
844,Vestibulum Inc.,elit.,21883
845,Id Blandit Industries,urna,21234
846,Arcu Sed Et Company,enim,5804
847,Nibh Dolor Nonummy Limited,Proin,10329
848,Et Magnis Dis Ltd,elit,15057
849,Dolor Dapibus PC,arcu.,25738
850,Quis Company,"eu,",31917
851,Pharetra Sed Ltd,In,19030
852,Egestas Hendrerit Corp.,tristique,3875
853,Natoque Institute,commodo,29488
854,Nec Cursus A Institute,"in,",40677
855,Donec Non Industries,"posuere,",25938
856,Lacus Company,elit.,33873
857,Amet Risus Limited,velit,20444
858,Aliquam Rutrum Lorem Inc.,dictum,23140
859,A Sollicitudin Limited,"egestas,",11926
860,Lorem PC,molestie,31410
861,Tristique Senectus Et Foundation,"enim,",16680
862,Mauris Sapien Cursus Incorporated,sem,24355
863,Et PC,dictum,11033
864,Ipsum Leo Company,quis,5024
865,Ornare Lectus Ante PC,arcu.,47828
866,Magna Et PC,"eget,",382
867,Adipiscing Mauris Molestie PC,ligula.,25652
868,Sociis Natoque Penatibus Company,mus.,36943
869,Volutpat Nunc Sit Incorporated,erat,26626
870,Iaculis Enim PC,arcu.,37683
871,Dolor Tempus LLP,Praesent,8556
872,Risus Odio LLC,sem,18477
873,Eu Augue Industries,amet,49529
874,Gravida Nunc Sed PC,malesuada.,35467
875,Aliquam Tincidunt Associates,felis,37368
876,Tincidunt Orci Inc.,ante,13182
877,Ridiculus Mus Proin Institute,"elit,",7897
878,Sed Eu Consulting,porta,9990
879,Aliquam Erat Inc.,Nullam,8026
880,Arcu Company,dolor.,1261
881,Metus Limited,dolor,4581
882,Elit Company,facilisis,17693
883,Lacus Quisque Purus Corporation,neque.,29134
884,Curabitur Sed Incorporated,Quisque,39871
885,Donec Sollicitudin Adipiscing Corporation,"mauris,",23901
886,Integer Aliquam Foundation,Phasellus,49932
887,Ipsum Porta Elit Corporation,"quis,",37075
888,Placerat Inc.,aliquet,20553
889,Eu Dui Limited,pulvinar,9391
890,Non Nisi Aenean Institute,venenatis,20381
891,Vitae Semper Consulting,"et,",14172
892,Quam Curabitur LLC,"amet,",49757
893,Rhoncus Donec Est Ltd,sit,8566
894,Ante Dictum Incorporated,Vivamus,44713
895,Ante Ltd,Vestibulum,28842
896,Velit Eget LLC,urna,9440
897,Cras Institute,enim,32939
898,Nec Tempus Inc.,mus.,20620
899,Quisque Nonummy Ipsum Inc.,Nulla,43502
900,A Limited,Aliquam,49144
901,Nonummy Ipsum Institute,ullamcorper.,22414
902,Aliquet Company,turpis.,44619
903,In Consequat Enim Company,"elit,",17950
904,Erat Corp.,"non,",32872
905,Magna Corporation,gravida,10709
906,Pede Incorporated,accumsan,2919
907,Integer Id Magna Incorporated,Maecenas,48460
908,Orci LLC,"et,",25937
909,Blandit Institute,aliquet,30573
910,Quam Dignissim Pharetra Corp.,enim,39169
911,Risus Varius Inc.,ante,34869
912,Non Cursus Industries,amet,28961
913,Pede Blandit PC,molestie,39934
914,Posuere Cubilia Curae PC,Proin,10980
915,Nec Diam Institute,eu,7237
916,Quisque Imperdiet Ltd,sem,18734
917,Ac Libero Nec Company,"non,",7003
918,Nec Metus Facilisis Foundation,augue,20406
919,Ut Corp.,malesuada,33748
920,Ut Foundation,non,1932
921,Egestas Blandit Associates,"sed,",45276
922,Ac Eleifend LLC,"amet,",6429
923,Sem Semper Inc.,id,3368
924,Nonummy Ut Industries,nunc.,8292
925,Suscipit Nonummy LLC,egestas.,27755
926,At Auctor Industries,"at,",20971
927,Nulla Interdum Institute,"a,",16409
928,Proin Incorporated,Cras,20445
929,Convallis Corp.,gravida,34666
930,Amet Nulla Donec Ltd,tellus.,43904
931,Tellus Lorem Foundation,ornare,28532
932,Sit Amet Massa Incorporated,ullamcorper,37703
933,Nulla Tempor Augue Company,nisl,4793
934,Semper Tellus Id Inc.,dapibus,35694
935,Proin LLC,augue,18710
936,Donec Tempor LLP,"sed,",47842
937,Dolor Fusce LLP,elit.,29059
938,Adipiscing Elit Corp.,mollis.,17660
939,Sed Libero Foundation,ornare,10642
940,Tempor Lorem Industries,Aliquam,37966
941,Ipsum Non LLP,ante,18702
942,Senectus Et Netus Ltd,adipiscing.,23596
943,Dui Corporation,"ac,",25555
944,Eleifend Consulting,ante.,39879
945,Tempus Risus Corporation,Phasellus,24821
946,Quisque Fringilla Euismod Inc.,pede.,24703
947,Ut LLC,sodales,12520
948,In Lobortis Tellus Company,"id,",38076
949,Nec Leo Morbi Corp.,velit,4355
950,Duis LLP,"facilisis,",29063
951,Lectus Convallis Corporation,"posuere,",16149
952,Mattis Corporation,"nec,",46563
953,Aliquet Diam Sed Industries,tincidunt,26985
954,Malesuada Vel Associates,"erat,",20848
955,Sapien Incorporated,eu,18232
956,Ac Turpis Egestas Incorporated,hendrerit,104
957,Interdum Curabitur Industries,neque,41111
958,Mauris Sit Inc.,Maecenas,19545
959,Pede Ultrices A Limited,tristique,4774
960,Dignissim Foundation,sit,28941
961,Quisque Libero Corp.,faucibus.,12501
962,Orci Luctus Consulting,sed,9372
963,Mus Proin Vel Industries,ipsum,28168
964,Vestibulum Mauris Magna Industries,lacus.,1334
965,Porttitor Interdum Sed Corporation,lacinia,47645
966,Sed LLC,accumsan,23080
967,Augue Ut Lacus LLP,quis,21178
968,Inceptos Hymenaeos Limited,Curabitur,37186
969,Tincidunt Donec Ltd,erat,42104
970,Dictum Eu Placerat Institute,Etiam,31955
971,Sit Amet Ante LLC,fames,44794
972,Ac Risus Morbi Institute,nec,2575
973,Suspendisse Tristique Corporation,dis,41818
974,Mi Institute,dapibus,42600
975,Mauris Morbi Non LLP,Ut,43821
976,Sed Et PC,Morbi,47566
977,Justo Faucibus Lectus Company,"leo,",14754
978,Id Magna Incorporated,"vitae,",38145
979,Semper Erat In Associates,ipsum,24796
980,Bibendum Industries,dolor.,14112
981,Magna LLP,Duis,37343
982,Nunc Inc.,bibendum,2247
983,Amet Dapibus Limited,ultricies,20126
984,Enim Commodo LLP,leo.,1400
985,Mauris Suspendisse Ltd,sapien,28490
986,Imperdiet Ltd,dictum,45104
987,Massa Suspendisse Eleifend Industries,nunc.,29861
988,Neque In Company,gravida,48519
989,Augue Porttitor Interdum Consulting,semper,12645
990,Semper Rutrum Fusce Associates,Nullam,13386
991,Cursus A PC,lobortis,12807
992,Non Institute,Curae,30587
993,Urna Consulting,ac,34457
994,Ac Institute,"et,",13458
995,Fringilla Cursus Company,ligula,49878
996,Nec Tempus Foundation,adipiscing,31917
997,Aliquam Enim Nec Inc.,velit.,9147
998,Nonummy Corp.,nibh,22510
999,Eleifend Vitae Erat Inc.,pellentesque,10301
1000,Dignissim Pharetra Nam Industries,"non,",13289
